"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-01","12.75",,"0.03","0.0","0.0","54","61","41","  300","  290","29.1","36.9","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-02","3.36",,"0.00","0.0","0.0","43","45","37","  360","   10","10.1","13.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-03","4.03",,"0.00","0.0","0.0","44","49","30","  290","  310","17.0","21.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-04","3.58",,"0.04","0.0","0.0","37","48","28","   60","  200","10.1","13.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-05","9.84",,"0.02","0.0","0.0","46","50","44","  290","  290","25.9","32.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-06","10.07",,"0.00","0.0","0.0","47","54","35","  310","  290","23.9","34.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-07","5.59",,"0.00","0.0","0.0","35","37","32","   70","   50","14.1","19.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-08","2.01",,"0.16","0.0","0.0","40","52","35","  310","  310","30.0","40.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-09","16.33",,"0.00","0.0","0.0","44","50","29","  290","  290","29.1","38.9",,,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-10","19.46",,"0.00","0.0","0.0","32","37","27","  290","  290","30.0","40.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-11","8.50",,"0.00","0.0","0.0","30","38","24","  310","  310","19.9","28.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-12","2.46",,"0.16","1.8","0.0","28","35","23","   80","   70","8.9","10.1","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-13","8.28",,"0.37","4.8","5.1","28","31","27","   40","   30","16.1","21.9","    1","    1",,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-14","4.25",,"0.00","0.0","5.1","30","35","22","   30","   10","12.1","19.9",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-15","4.47",,"0.00","0.0","3.1","28","38","20","  280","  320","13.0","19.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-16","5.59",,"0.00","0.0","2.0","29","39","19","  300","  300","18.1","25.9","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-17","6.49",,"0.06","0.6","1.2","35","37","30","   70","   30","13.0","19.0","    1",,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-18","3.58",,"0.06","0.3","2.0","34","44","31","  110","  290","8.9","13.0","    1",,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-19","7.38",,"0.76","0.0","1.2","35","38","33","   70","   70","16.1","19.0","    1",,,,,,"    1",
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-20","17.22",,"0.24","0.0","0.0","38","49","16","  300","  290","31.1","45.0","    1","    1",,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-21","19.01",,"0.00","0.0","0.0","17","21","12","  290","  290","33.1","45.0",,,,,,,,
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2019-01-22","4.92",,"0.00","0.0","0.0","20","33","11","  300","  290","13.0","15.0",,,,,,,,
