"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT06","WT11"
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-01","0.00","0.0","0.0","61","42","42","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-02","0.00","0.0","0.0","45","37","43","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-03","0.00","0.0","0.0","49","32","32","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-04","0.04","0.0","0.0","46","28","44","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-05","0.09","0.0","0.0","54","38","38","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-06","0.00","0.0","0.0","54","31","38","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-07","0.01","0.0","0.0","38","33","38","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-08","0.12","0.0","0.0","58","36","52","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-09","0.00","0.0","0.0","52","30","30","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-10","0.00","0.0","0.0","35","27","28",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-11","0.00","0.0","0.0","36","24","28",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-12","0.22","2.9","3.0","34","24","28",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-13","0.66","7.7","5.0","29","27","27",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-14","0.00","0.0","7.0","35","13","14",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-15","0.00","0.0","5.0","38","8","22",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-16","0.00","0.0","4.0","42","12","36",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-17","0.12","1.5","4.0","37","27","32",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-18","0.02","0.3","5.0","41","32","32","0.8","    1",,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-19","0.86","0.0","3.0","38","31","35","0.0",,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-20","0.19","0.0","1.0","40","15","15",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-21","0.00","0.0","0.0","20","11","14",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-22","0.00","0.0","0.0","32","11","29",,,,,,
"USC00448084","WEATHER FORECAST OFFICE STERLING, VA US","38.9764","-77.4869","87.8","2019-01-23","0.00","0.0","0.0","47","29","43",,,,,,
